fasId,fasFacility_ID,fasService_ID
1809,11382,12
1810,11382,4
1811,11383,13
1812,11383,5
1813,11383,12
1814,11383,4
1815,11384,13
1816,11384,5
1817,11384,12
1818,11384,4
1819,11385,13
1820,11385,5
1821,11385,12
1822,11385,4
1823,11386,5
1824,11387,13
1825,11387,5
1826,11387,12
1827,11387,4
1828,11390,12
1829,11390,17
1830,11390,4
1831,11392,13
1832,11392,12
1833,11392,4
1834,11393,5
1835,11393,12
1836,11393,4
1837,11394,5
1838,11394,12
1839,11394,4
1840,11395,13
1841,11395,5
1842,11395,12
1843,11395,17
1844,11395,4
1845,11397,5
1846,11397,17
1847,11398,5
1848,11398,4
1849,11400,5
1850,11400,12
1851,11400,4
1852,11401,13
1853,11401,5
1854,11401,12
1855,11401,4
1856,11404,5
1857,11404,12
1858,11404,4
1859,11406,5
1860,11406,4
1861,11409,5
1862,11409,12
